"","x"
"zealand",532
"windies",452
"bowl",370
"wicket",310
"ball",291
"team",232
"play",213
"taylor",206
"run",191
"time",186
"bat",180
"best",153
"score",150
"narin",146
"mccullum",130
"year",128
"batsmen",125
"over",123
"boult",122
"back",121
"deliveri",117
"pitch",113
"win",110
"start",103
"centuri",100
"gayl",100
"roach",96
"sammi",94
"take",92
"southe",90
"open",88
"chanderpaul",86
"guptil",84
"show",83
"wagner",82
"five",81
"follow",80
"hundr",79
"williamson",78
"boundari",78
"took",78
"short",78
"edg",77
"slip",76
"bravo",74
"chanc",73
"batsman",72
"half",70
"long",70
"session",70
"catch",70
"left",68
"attack",65
"deonarin",65
"top",64
"captain",63
"past",63
"final",63
"stump",63
"ross",62
"tri",61
"home",61
"field",60
"darrensammi",59
"powel",58
"drive",57
"pressur",56
"around",56
"victori",56
"lead",55
"morn",54
"leg",54
"six",54
"brendon",54
"hand",53
"shot",53
"spell",53
"hard",52
"line",52
"order",51
"turn",51
"martin",51
"posit",51
"samuel",51
"perform",50
"although",50
"hit",49
"stand",49
"coupl",48
"give",48
"work",48
"dunedin",48
"england",47
"player",46
"quick",45
"spinner",45
"pace",45
"wellington",45
"neil",44
"given",44
"lunch",44
"condit",43
"keep",43
"seamer",43
"went",43
"dismiss",42
"hope",42
"close",42
"next",42
"swing",42
"trentboult",42
"pick",41
"sunil",41
"hour",41
"part",41
"highest",40
"india",40
"today",39
"tinobest",39
"drop",38
"kane",38
"return",38
"ramdin",38
"shivnarin",38
"cover",38
"continu",37
"man",37
"period",37
"doubl",37
"spin",37
"narsingh",36
"pair",36
"pull",36
"tea",36
"wasn",36
"fast",36
"tim",36
"chrisgayl",35
"remain",35
"taken",35
"face",35
"expect",35
"differ",35
"result",35
"consist",35
"shillingford",35
"gave",34
"know",34
"later",34
"manag",34
"tough",34
"offer",34
"won",34
"foot",33
"length",33
"seem",33
"previous",33
"edward",33
"sodhi",33
"better",32
"big",32
"don",32
"vettori",32
"daniel",32
"partnership",32
"confid",32
"front",32
"marlonsamuel",32
"guy",32
"watch",32
"despit",31
"jamaica",31
"caught",31
"chase",31
"without",31
"move",31
"outsid",31
"watl",31
"kemar",30
"includ",30
"appear",30
"lost",29
"fifti",29
"decis",29
"pretti",29
"moment",29
"mani",28
"form",28
"miss",28
"yet",28
"finish",28
"antigua",28
"full",28
"ground",28
"eight",27
"opportun",27
"realli",27
"alway",27
"beat",27
"break",27
"kieran",27
"fell",27
"feel",27
"figur",27
"believ",27
"effort",27
"rain",27
"behind",27
"anderson",27
"began",26
"push",26
"thought",26
"chang",26
"late",26
"pad",26
"nine",26
"fifth",25
"lose",25
"success",25
"challeng",25
"reach",25
"world",25
"brought",25
"place",25
"surviv",25
"bounc",25
"windiesan",25
"bangladesh",25
"cut",25
"surfac",25
"gibson",25
"darren",25
"fulton",25
"career",24
"save",24
"chris",24
"happi",24
"near",24
"target",24
"bracewel",24
"fielder",24
"control",24
"creas",24
"rampaul",24
"week",24
"averag",24
"job",23
"consecut",23
"contribut",23
"total",23
"done",23
"seven",23
"forc",23
"umpir",23
"haul",23
"call",23
"injuri",23
"gulli",22
"hamilton",22
"straight",22
"strike",22
"probabl",22
"review",22
"especi",22
"toss",22
"recent",22
"middl",21
"park",21
"problem",21
"import",21
"earlier",21
"host",21
"lbw",21
"toward",21
"find",21
"togeth",21
"forward",21
"slow",21
"defeat",21
"signific",21
"key",20
"month",20
"opposit",20
"rank",20
"creat",20
"denesh",20
"midwicket",20
"van",20
"wyk",20
"soon",20
"either",20
"leav",20
"caribbean",20
"squad",20
"class",20
"ten",20
"deep",19
"favour",19
"stage",19
"fudadin",19
"glove",19
"held",19
"old",19
"prove",19
"complet",19
"kept",19
"coach",19
"minut",19
"fight",18
"gone",18
"ahead",18
"great",18
"happen",18
"limit",18
"obvious",18
"strong",18
"weather",18
"wide",18
"arm",18
"certain",18
"almost",18
"sweep",18
"impress",18
"role",18
"let",18
"gabriel",18
"rutherford",18
"fail",17
"flynn",17
"comfort",17
"anyth",17
"struggl",17
"disappoint",17
"becom",17
"nice",17
"remov",17
"australia",17
"fall",17
